country,suicides/100k pop,Continent
Albania,924.76,europe
Antigua and Barbuda,179.14,central-america-n-caribbean
Argentina,3894.59,south-america
Armenia,976.21,middle-east
Aruba,1596.52,central-america-n-caribbean
Australia,4677.41,australia-oceania
Austria,9076.23,europe
Azerbaijan,356.24,middle-east
Bahamas,344.28,central-america-n-caribbean
Bahrain,467.24,middle-east
Barbados,891.13,central-america-n-caribbean
Belarus,7831.13,europe
Belgium,7900.5,europe
Belize,2093.49,central-america-n-caribbean
Bosnia and Herzegovina,110.81,europe
Brazil,2174.72,south-america
Bulgaria,7016.08,europe
Cabo Verde,133.84,africa
Canada,4338.72,north-america
Chile,3921.64,south-america
Colombia,2009.39,south-america
Costa Rica,2553.72,central-america-n-caribbean
Croatia,5982.84,europe
Cuba,6111.95,central-america-n-caribbean
Cyprus,586.26,europe
Czech Republic,5952.99,europe
Denmark,3721.65,europe
Dominica,0.0,central-america-n-caribbean
Ecuador,2345.21,south-america
El Salvador,3035.94,central-america-n-caribbean
Estonia,6873.78,europe
Fiji,673.86,australia-oceania
Finland,7924.11,europe
France,7803.25,europe
Georgia,1116.38,middle-east
Germany,4854.69,europe
Greece,1512.12,europe
Grenada,661.0,central-america-n-caribbean
Guatemala,1146.7,central-america-n-caribbean
Guyana,6655.92,south-america
Hungary,10156.07,europe
Iceland,4889.74,europe
Ireland,3881.73,europe
Israel,3329.97,middle-east
Italy,3168.87,europe
Jamaica,106.44,central-america-n-caribbean
Japan,8025.23,east-n-southeast-asia
Kazakhstan,9519.52,central-asia
Kiribati,878.51,australia-oceania
Kuwait,355.93,middle-east
Kyrgyzstan,4457.3,central-asia
Latvia,7373.35,europe
Lithuania,10588.88,europe
Luxembourg,6156.56,europe
Macau,171.74,east-n-southeast-asia
Maldives,164.07999999999998,south-asia
Malta,1872.01,europe
Mauritius,4464.58,africa
Mexico,1751.19,north-america
Mongolia,184.39,east-n-southeast-asia
Montenegro,1194.03,europe
Netherlands,4066.52,europe
New Zealand,5008.32,australia-oceania
Nicaragua,472.82,central-america-n-caribbean
Norway,4658.76,europe
Oman,26.5,middle-east
Panama,1744.06,central-america-n-caribbean
Paraguay,1366.37,south-america
Philippines,435.83,east-n-southeast-asia
Poland,4397.62,europe
Portugal,3673.36,europe
Puerto Rico,3789.28,central-america-n-caribbean
Qatar,318.15,middle-east
Republic of Korea,9350.45,east-n-southeast-asia
Romania,4171.55,europe
Russian Federation,11305.13,central-asia
Saint Kitts and Nevis,0.0,central-america-n-caribbean
Saint Lucia,2420.12,central-america-n-caribbean
Saint Vincent and Grenadines,1726.6299999999999,central-america-n-caribbean
San Marino,145.62,europe
Serbia,4787.45,europe
Seychelles,1615.7,africa
Singapore,6340.98,east-n-southeast-asia
Slovakia,3318.16,europe
Slovenia,7012.62,europe
South Africa,231.49,africa
Spain,3509.06,europe
Sri Lanka,4658.96,south-asia
Suriname,7162.32,south-america
Sweden,5247.72,europe
Switzerland,4794.07,europe
Thailand,2362.67,east-n-southeast-asia
Trinidad and Tobago,4479.51,central-america-n-caribbean
Turkey,199.17,middle-east
Turkmenistan,2994.73,central-asia
Ukraine,8931.66,europe
United Arab Emirates,94.89,middle-east
United Kingdom,2790.92,europe
United States,5140.97,north-america
Uruguay,6538.96,south-america
Uzbekistan,2138.17,central-asia
